[ 2026-07-08 20:39:27,342 ] 20 root - INFO - Initiate the data ingestion
[ 2026-07-08 20:39:30,509 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-07-08 20:39:30,509 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-08 20:39:30,510 ] 75 root - INFO - Exporting train and test file path.
[ 2026-07-08 20:39:30,629 ] 84 root - INFO - Exported train and test file path.
[ 2026-07-08 20:39:30,630 ] 22 root - INFO - Data Initiation Completed
[ 2026-07-08 20:39:30,806 ] 26 root - INFO - Initiate the data Validation
[ 2026-07-08 20:39:30,900 ] 32 root - INFO - Required number of columns:2
[ 2026-07-08 20:39:30,901 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-08 20:39:30,901 ] 32 root - INFO - Required number of columns:2
[ 2026-07-08 20:39:30,901 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-08 20:39:31,231 ] 28 root - INFO - data Validation Completed
[ 2026-07-08 20:39:31,232 ] 31 root - INFO - data Transformation started
[ 2026-07-08 20:39:31,232 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-08 20:39:31,232 ] 65 root - INFO - Starting data transformation
[ 2026-07-08 20:39:31,280 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-08 20:39:31,280 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-08 20:39:31,303 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-08 20:39:31,308 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-08 20:39:31,309 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-08 20:39:31,315 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-08 20:39:31,317 ] 35 root - INFO - data Transformation completed
[ 2026-07-08 20:39:31,317 ] 37 root - INFO - Model Training sstared
